"age"	"maternities"	"mat_married"	"mat_unmarried"	"births"
14	64	0	64	63
15	297	0	297	297
16	894	11	883	892
17	2396	45	2351	2409
18	4453	134	4319	4463
19	7786	508	7278	7809
20	10743	1147	9596	10782
21	13188	1832	11356	13242
22	15430	2769	12661	15511
23	18615	4027	14588	18716
24	21248	5868	15380	21375
25	24950	8099	16851	25146
26	28756	10901	17855	28989
27	32639	14111	18528	32922
28	36809	17710	19099	37193
29	40114	21248	18866	40515
30	41709	24107	17602	42090
31	43256	26499	16757	43709
32	42590	27077	15513	43084
33	39526	26040	13486	40021
34	36300	24284	12016	36771
35	32486	21697	10789	32921
36	27811	18385	9426	28226
37	23015	15056	7959	23322
38	18655	11918	6737	18919
39	14801	9230	5571	15038
40	11029	6679	4350	11210
41	7086	4232	2854	7184
42	4311	2510	1801	4391
43	2694	1544	1150	2740
44	1502	861	641	1548
45	857	505	352	873
46	481	287	194	503
47	285	170	115	303
48	189	125	64	206
49	398	232	166	454
